Price,Close,High,Low,Open,Volume
Ticker,SPY,SPY,SPY,SPY,SPY
Date,,,,,
2018-01-02,235.9542694091797,235.98939307392297,234.75154510890943,235.1378250465664,86655700
2018-01-03,237.4466552734375,237.59591071612948,236.12101188725913,236.12101188725913,90070400
2018-01-04,238.4475860595703,238.93044952377141,237.5082487728614,238.08766885499406,80636400
2018-01-05,240.0365753173828,240.15946797234622,238.7460550869637,239.23767928983673,83524000
2018-01-08,240.4755096435547,240.63352595605033,239.65027762295614,239.93997419586478,57319200
2018-01-09,241.01983642578125,241.6431409316476,240.61598118737896,240.89691697282984,57254000
2018-01-10,240.65109252929688,240.91447986147978,239.5976235750946,240.26481254196977,69574300
2018-01-11,242.4069366455078,242.4069366455078,241.03740804909924,241.20421201328483,62361500
2018-01-12,243.98716735839844,244.15394452208946,242.37179991942867,242.67031094880144,90816100
2018-01-16,243.15313720703125,245.89219413547542,242.45958535928062,245.2425535744117,106555100
2018-01-17,245.47080993652344,245.85708997416316,243.1531565021984,244.0837329224632,113258800
2018-01-18,245.05819702148438,245.77805812089665,244.56654600971189,245.35668124153545,100728000
2018-01-19,246.17312622070312,246.1731262207031,245.05819750318747,245.63759071344802,140920100
2018-01-22,248.17471313476562,248.17471313476562,245.90970554473782,245.9624044391286,91322400
2018-01-23,248.7015380859375,248.99123474164273,247.89385427205187,248.2186746044083,97084700
2018-01-24,248.60491943359375,249.93935104203206,247.42853095192575,249.34235578964626,134816100
2018-01-25,248.71026611328125,249.56183431704545,247.92015763767293,249.46527770838205,84587300
2018-01-26,251.58975219726562,251.63366347839286,249.28964767784194,249.54424737555524,107743100
2018-01-29,249.9217071533203,251.45803917092164,249.7636908614709,251.01908716589267,90118300
2018-01-30,247.3582763671875,249.97441352934558,246.88420063512552,248.0957126217795,131796400
2018-01-31,247.48118591308594,248.71024642133222,246.41014172914782,248.2098613943564,108364800
2018-02-01,247.20021057128906,248.49951821002367,246.41010228471623,246.7524977240842,90102500
2018-02-02,241.81874084472656,246.0151221655599,241.78361717245468,245.88341509241843,173174800
2018-02-05,231.7052764892578,242.16990757960036,231.16098010750332,240.0629426086258,294681800
2018-02-06,236.2703094482422,236.77072116167997,227.11377709458372,228.20236948886597,355026800
2018-02-07,234.9886016845703,239.10594725573497,234.9095667392294,235.7172502975997,167376100
2018-02-08,226.17442321777344,235.42753934624014,226.13929955438024,235.28707148417266,246449500
2018-02-09,229.57188415527344,231.4242486397791,222.03946661641714,228.95734067037915,283565300
2018-02-12,232.94309997558594,234.40921179523755,229.71241891123438,231.6174560445814,143736000
2018-02-13,233.5225067138672,234.06680300678443,231.16094237859048,231.7403623395533,81223600
2018-02-14,236.6741943359375,237.03413827941714,232.0300735324697,232.03886114791155,120735700
2018-02-15,239.69415283203125,239.7029404462211,235.9542728320571,238.41242036112484,111200300
2018-02-16,239.7643585205078,241.70454573082915,239.0269223449148,239.07083362163766,160420100
2018-02-20,238.26316833496094,240.25602779649859,237.47306000010119,238.81625220681488,86369700
2018-02-21,237.07803344726562,241.17785810812944,236.98147683910005,238.7021616780107,98883700
2018-02-22,237.3852996826172,239.71174054605476,236.71811068253444,237.99984336345477,110511300
2018-02-23,241.16900634765625,241.16900634765625,238.13146593359008,238.60554160702387,92766400
2018-02-26,243.96949768066406,244.0660810448981,241.65184522857155,242.24002586058097,86491400
2018-02-27,240.92320251464844,244.86500992560363,240.8617428010588,244.15388299543363,99099200
2018-02-28,238.48263549804688,242.46832748149382,238.1666028924506,242.0205878320597,121907800
2018-03-01,235.0149688720703,239.81710599569337,233.52252099123643,238.27198600532518,176855100
2018-03-02,236.22642517089844,236.7882966589394,232.48657189571603,233.3469007734564,139083200
2018-03-05,238.9567108154297,239.571254380669,234.93589517396205,235.04126616716488,97307400
2018-03-06,239.56246948242188,240.0102091362149,238.0700218307826,239.93117419254034,79213200
2018-03-07,239.47470092773438,239.82585724110842,237.2097199336888,237.40285992477092,87063500
2018-03-08,240.633544921875,240.75643757744385,239.15867230598982,240.15068154029282,66901200
2018-03-09,244.8211212158203,244.8211212158203,241.72212069884188,242.0381801182192,113625300
2018-03-12,244.5138397216797,245.7341392777814,244.12755977525234,245.11083486984458,71924800
2018-03-13,242.9336395263672,246.17310801074694,242.32788351439316,245.67269621102778,91968900
2018-03-14,241.6870574951172,244.07495840526627,241.13400025798666,243.89060599288945,105895100
2018-03-15,241.42361450195312,242.8370271669328,240.9232027619332,242.19617435500027,83433000
2018-03-16,241.68544006347656,242.73433229879393,241.63255700109175,241.9498553754007,100343700
2018-03-19,238.415283203125,241.86163857331567,236.7670321345128,240.93615834832266,109208400
2018-03-20,238.82081604003906,239.45543966554663,238.1421052648597,238.8119932303427,59757300
2018-03-21,238.36239624023438,240.8656257293713,238.1508640548659,238.77666470244944,78709600
2018-03-22,232.4040985107422,236.98746785600503,232.1308334753327,236.14131191360167,148785900
2018-03-23,227.4505157470703,233.17095224027113,227.25660218969375,232.84483100714124,183534800
2018-03-26,233.6732940673828,233.95535498438946,228.64921511489823,231.04667911183574,141956100
2018-03-27,229.69810485839844,235.13645231917573,228.1467967301256,234.60762172890932,129941400
2018-03-28,229.01943969726562,231.49625564922073,227.91766425018125,229.83035826179815,146452300
2018-03-29,231.94573974609375,233.80555051179851,229.0282407907725,230.1564576656507,111601600
2018-04-02,226.9392547607422,231.92809620608446,224.4712755675117,231.41685743848606,186286300
2018-04-03,229.84791564941406,230.32389004720667,226.38394102387377,228.17322279650818,119956900
2018-04-04,232.3070831298828,233.01220846166905,226.17240666715955,226.30461430451857,123715300
2018-04-05,234.14044189453125,235.0218619705104,232.9769609385253,234.0610904167438,82652600
2018-04-06,228.9224853515625,233.67332686335382,227.4064413333874,232.18375127749687,179521200
2018-04-09,230.05062866210938,233.43527836169534,229.1163255788343,230.37674977058023,105442900
2018-04-10,233.7085418701172,234.49301869650768,231.79587525314687,232.93288785263687,103529000
2018-04-11,232.4833984375,234.1404727021837,232.15727727028641,232.22777905016653,91140200
2018-04-12,234.39610290527344,235.33922911812886,233.62927151869874,233.80556634497947,68890500
2018-04-13,233.7085418701172,235.81514889026525,232.70373691024142,235.70055996966371,85079200
2018-04-16,235.63002014160156,236.3968782126774,234.5194491226073,235.33916334821905,63405300
2018-04-17,238.15086364746094,238.75022277084807,236.8816167398159,237.39282848651607,64682000
2018-04-18,238.3272247314453,239.12929345575915,237.86886900462565,238.5916400362949,57303900
2018-04-19,237.00509643554688,237.87769384781993,235.97382294019738,237.67495751316204,77655900
2018-04-20,234.99542236328125,237.1549125737747,234.11400217921198,236.9345575277574,99953100
2018-04-23,234.96017456054688,236.12365560791923,233.88484090745573,235.56835661263662,65558000
2018-04-24,231.79592895507812,236.20303062196353,230.2975036288115,235.98267553861925,112885500
2018-04-25,232.36883544921875,232.8095455943946,229.91848811799363,231.73421176421306,103840900
2018-04-26,234.7310333251953,235.55957054280748,232.95057403778003,233.39128417911363,67731900
2018-04-27,234.95135498046875,235.6388616272177,234.01705176562555,235.33918200158953,57053600
2018-04-30,233.14451599121094,236.12372121353692,233.07398729666673,235.56842206396763,82182300
2018-05-01,233.55874633789062,233.6645124635416,231.02904763828548,232.58035587799654,74203400
2018-05-02,231.98980712890625,234.17571200711808,231.60198008945386,233.36482048739748,86368900
2018-05-03,231.4785919189453,232.13083432497558,228.33191503251203,231.16129352643733,136311500
2018-05-04,234.47537231445312,235.15408302694007,230.18286060318687,230.50898174610822,91222100
2018-05-07,235.26869201660156,236.23823271919028,234.55471690649136,235.24225048650933,55304900
2018-05-08,235.26869201660156,235.63005062825889,233.70856104472983,234.89848369650036,67499200
2018-05-09,237.54270935058594,237.86883047334368,235.41848374968689,235.93851836419324,59666100
2018-05-10,239.76393127441406,240.09007936810895,238.17738555381095,238.2831516820096,72063900
2018-05-11,240.4954833984375,240.75989867301982,239.37606263882225,239.88730136809096,59871500
2018-05-14,240.61009216308594,241.57963284906248,240.06358905252702,240.9273905187562,54790600
2018-05-15,238.9530487060547,239.40255476785495,238.0099225293542,239.38493604542785,87036100
2018-05-16,239.95782470703125,240.41618042257653,238.96181558524657,238.98828401389073,53942600
2018-05-17,239.75511169433594,240.83044538955156,238.97945763236936,239.69340582604104,56536400
2018-05-18,239.15573120117188,239.77273610113608,238.8031685006823,239.41135059102103,64368000
2018-05-21,240.95387268066406,241.49155307240963,240.24874717217347,240.6365742714875,58025900
2018-05-22,240.28396606445312,241.72950821369673,239.95784486948793,241.47388880461108,52966400
2018-05-23,240.94497680664062,240.97144523152645,238.85601554990004,239.01469160518607,64694200
2018-05-24,240.4514923095703,240.82170074068443,238.67103265223724,240.54846254819319,76043800
2018-05-25,239.87852478027344,240.50432564990533,239.3761087629519,239.87852478027344,56374800
2018-05-29,237.11968994140625,239.01476518952487,236.00911860533242,238.2567297105146,115908600
2018-05-30,240.28396606445312,240.72467619793298,238.3536804267183,238.42418221259786,69678400
2018-05-31,238.81195068359375,240.17814100262822,238.2125915048435,239.8784614132531,93519900
2018-06-01,241.1565704345703,241.45625007264385,240.03714957306167,240.10767825190814,71258400
2018-06-04,242.30239868164062,242.55801806189862,241.73830376178478,241.97627752345397,45385200
2018-06-05,242.4786834716797,242.85768767237997,241.66776511550432,242.4345963258353,51135000
2018-06-06,244.50596618652344,244.61173231021175,242.46988760909116,243.08689252902062,62732200
2018-06-07,244.47946166992188,245.28155709966063,243.57160014374352,244.9907003344517,72969400
2018-06-08,245.2022705078125,245.2551535642236,243.85369877171357,244.02117074995135,72139700
2018-06-11,245.52830505371094,246.24225296224844,245.3079500967846,245.42253897819404,58892500
2018-06-12,245.84576416015625,246.20712281550618,245.20231765169822,245.9427074826128,72329000
2018-06-13,245.06129455566406,246.3393648003741,244.85855819513074,246.08374537166932,79070600
2018-06-14,245.67825317382812,246.20708375571797,245.0876898256393,245.92504974497967,77097600
2018-06-15,245.36476135253906,245.70120924970385,243.78878990233585,244.8955121853321,120041600
2018-06-18,244.86016845703125,244.98413436209893,243.43472266632747,243.91280739262805,52917600
2018-06-19,243.92164611816406,244.14299062462337,242.17745032648094,242.5935790794082,97531500
2018-06-20,244.33786010742188,245.00189385844547,244.0014120171002,244.60346279999033,53785500
2018-06-21,242.8060302734375,244.34660621575017,242.31022080360503,244.32888136494853,71061400
2018-06-22,243.248779296875,244.17844254707023,243.0274347639137,244.06333906679495,54898500
2018-06-25,239.9375,242.2571866362737,238.2552867692335,242.0978250397967,137854200
2018-06-26,240.46873474121094,241.3186902838372,239.7515805303076,240.50415743620357,68547400
2018-06-27,238.47657775878906,242.47847672690543,238.32605160508425,241.05303106816336,105110700
